"","ResponseID","Finished","MTurkCode","Q_TotalDuration","Age","NativeLang","BeganEnglish","SpeechProb","NP","Rating","ArbCont","Coll","Meas","Quant","FullCont","Type","ItemNr","OneThing","MoreThings"
"92","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.bottle.of.pills","a. One thing",0,0,0,0,1,"FullCont",12,1,0
"93","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.stack.of.sandwiches","b. More than one thing",0,1,0,0,0,"Coll",13,0,1
"94","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","fewer.people","b. More than one thing",0,0,0,1,0,"Quant",14,0,1
"96","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.crowd.of.onlookers","b. More than one thing",0,1,0,0,0,"Coll",16,0,1
"100","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.collection.of.coins","b. More than one thing",0,1,0,0,0,"Coll",20,0,1
"101","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.ton.of.ties","b. More than one thing",0,0,0,0,1,"Meas",21,0,1
"102","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","several.pamphlets","b. More than one thing",0,0,0,1,0,"Quant",22,0,1
"103","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","five.baseballs","b. More than one thing",0,0,0,1,0,"Quant",23,0,1
"104","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.pile.of.pucks","b. More than one thing",0,1,0,0,0,"Coll",24,0,1
"105","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.crate.of.tangerines","a. One thing",0,0,0,0,1,"FullCont",25,1,0
"106","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.couple.of.notepads","b. More than one thing",0,0,1,0,0,"Meas",26,0,1
"107","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.set.of.dvds","b. More than one thing",0,1,0,0,0,"Coll",27,0,1
"108","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.handful.of.cookbooks","b. More than one thing",0,0,1,0,0,"Meas",28,0,1
"110","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","more.chips","b. More than one thing",0,0,0,1,0,"Quant",30,0,1
"111","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.bin.of.baseballs","b. More than one thing",0,0,0,1,0,"FullCont",31,0,1
"112","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.sack.of.potatoes","a. One thing",0,0,0,0,1,"FullCont",32,1,0
"113","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.troop.of.preschoolers","b. More than one thing",0,1,0,0,0,"Coll",33,0,1
"114","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.tube.of.balls","b. More than one thing",0,0,0,1,0,"FullCont",34,0,1
"115","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.lot.of.postcards","b. More than one thing",0,0,1,0,0,"Meas",35,0,1
"116","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.number.of.bags","b. More than one thing",0,0,1,0,0,"Meas",36,0,1
"117","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","a.group.of.llamas","b. More than one thing",0,1,0,0,0,"Coll",37,0,1
"120","R_1jlIiB96puitlox",1,850725,303,44,"English","English","No","both.pans","b. More than one thing",0,0,0,1,0,"Quant",40,0,1
"161","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.vase.of.cattails","b. More than one thing",0,0,0,0,1,"FullCont",1,0,1
"162","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.variety.of.mugs","b. More than one thing",0,0,1,0,0,"Meas",2,0,1
"163","R_216O5WplRvjnKDM",1,181907,166,25,"English","","No","a.pack.of.matches","a. One thing",0,0,0,0,1,"FullCont",3,1,0
